City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
549,Prado,BR,74.53,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
550,Vao,NC,74.26,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
552,Kitimat,CA,64.0,broken clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
555,Sri Aman,MY,73.4,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
557,Seguela,CI,74.91,light rain,7.9611,-6.6731,Hotel le Carrefour
558,Mae Hong Son,TH,74.97,clear sky,19.3003,97.9685,Baiyoke Chalet Hotel
559,Mwinilunga,ZM,63.99,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
564,Dargaville,NZ,67.53,overcast clouds,-35.9333,173.8833,Parkview Motel
566,Busayra,JO,60.44,overcast clouds,30.7376,35.6078,Matan Eco Villege
568,Paragominas,BR,73.0,overcast clouds,-2.9667,-47.4833,.
570,Acari,PE,70.97,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
573,San Fernando,PH,78.8,broken clouds,15.0286,120.6898,Maharlika Hostel
574,Atakpame,TG,77.63,broken clouds,7.5333,1.1333,Hôtel Luxembourg Atakpame
575,Makamba,BI,61.88,overcast clouds,-4.1348,29.804000000000002,Inanzerwe Hotel
576,Foumban,CM,65.3,light rain,5.7291,10.9001,Hotel Pekassa De Karche
578,Meiganga,CM,67.19,light rain,6.5167,14.3,DFR HOUSE
584,Domoni,KM,79.25,light rain,-12.2569,44.5319,Al Djadid
588,High Rock,BS,78.8,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
589,Buchanan,LR,75.2,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
594,Hervey Bay,AU,70.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
603,Arona,ES,68.0,few clouds,28.0996,-16.680999999999997,Paradise Court
607,Kisaran,ID,73.31,overcast clouds,2.9845,99.6158,Penginapan Batubara1
608,Sioux Lookout,CA,64.4,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
610,Pascagoula,US,69.01,clear sky,30.3658,-88.5561,Regency Inn
611,Sambava,MG,74.89,light rain,-14.2667,50.1667,Melrose
614,Maraa,BR,75.24,light rain,-1.8333,-65.3667,
